abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
occasional	recurring or reappearing from time to time; "periodic feelings of anxiety"
occupation	the principal activity in your life that you do to earn money; "he's not in my line of business"
occupation	the control of a country by military forces of a foreign power
occupation	any activity that occupies a person's attention; "he missed the bell in his occupation with the computer game"
occupation	the act of occupying or taking possession of a building; "occupation of a building without a certificate of occupancy is illegal"
occupation	the period of time during which a place or position or nation is occupied; "during the German occupation of Paris"
occupy	keep busy with; "She busies herself with her butterfly collection"
occupy	live (in a certain place); "She resides in Princeton"; "he occupies two rooms on the top floor"
occupy	occupy the whole of; "The liquid fills the container"
occupy	be on the mind of; "I worry about the second Germanic consonant shift"
occupy	march aggressively into another's territory by military force for the purposes of conquest and occupation; "Hitler invaded Poland on September 1, 1939"
occupy	require (time or space); "It took three hours to get to work this morning"; "This event occupied a very short time"
occupy	consume all of one's attention or time; "Her interest in butterflies absorbs her completely"
occupy	assume, as of positions or roles; "She took the job as director of development"; "he occupies the position of manager"; "the young prince will soon occupy the throne"
occurrence	an event that happens
occurrence	an instance of something occurring; "a disease of frequent occurrence"; "the occurrence (or presence) of life on other planets"
odds	the likelihood of a thing occurring rather than not occurring
odds	the ratio by which one better's wager is greater than that of another; "he offered odds of two to one"
offender	a person who transgresses moral or civil law
offering	something offered (as a proposal or bid); "noteworthy new offerings for investors included several index funds"
offering	money contributed to a religious organization
offering	the verbal act of offering; "a generous offer of assistance"
offering	the act of contributing to the funds of a church or charity; "oblations for aid to the poor"
offspring	the immediate descendants of a person; "she was the mother of many offspring"; "he died without issue"
offspring	something that comes into existence as a result; "industrialism prepared the way for acceptance of the French Revolution's various socialistic offspring"; "this skyscraper is the solid materialization of his efforts"
offspring	any immature animal
ongoing	currently happening; "an ongoing economic crisis"
openly	in an open way; "he openly flaunted his affection for his sister"
opera	a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes
Opera	a commercial browser
opera	a building where musical dramas are performed
operational	pertaining to a process or series of actions for achieving a result; "operational difficulties"; "they assumed their operational positions"
operational	fit or ready for use or service; "the toaster was still functional even after being dropped"; "the lawnmower is a bit rusty but still usable"; "an operational aircraft"; "the dishwasher is now in working order"
operational	(military) of or intended for or involved in military operations
operational	being in effect or operation; "de facto apartheid is still operational even in the `new' African nations"- Leslie Marmon Silko; "bus service is in operation during the emergency"; "the company had several operating divisions"
operator	(mathematics) a symbol or function representing a mathematical operation
operator	an agent that operates some apparatus or machine; "the operator of the switchboard"
